1.666667   0.300000 
 1.3980020e+00    1.1846936e+00    9.2788031e-03 
 1.4070799e+00    1.1855887e+00    9.0951796e-03 
 1.4161578e+00    1.1864570e+00    8.9134019e-03 
 1.4252358e+00    1.1872981e+00    8.7334850e-03 
 1.4343137e+00    1.1881121e+00    8.5554430e-03 
 1.4433917e+00    1.1888986e+00    8.3792891e-03 
 1.4524696e+00    1.1896576e+00    8.2050358e-03 
 1.4615475e+00    1.1903890e+00    8.0326946e-03 
 1.4706255e+00    1.1910926e+00    7.8622762e-03 
 1.4797034e+00    1.1917684e+00    7.6937905e-03 
 1.4887813e+00    1.1924163e+00    7.5272466e-03 
 1.4978593e+00    1.1930362e+00    7.3626525e-03 
 1.5069372e+00    1.1936281e+00    7.2000159e-03 
 1.5160151e+00    1.1941920e+00    7.0393432e-03 
 1.5250931e+00    1.1947279e+00    6.8806404e-03 
 1.5341710e+00    1.1952358e+00    6.7239123e-03 
 1.5432489e+00    1.1957156e+00    6.5691635e-03 
 1.5523269e+00    1.1961675e+00    6.4163973e-03 
 1.5614048e+00    1.1965916e+00    6.2656166e-03 
 1.5704827e+00    1.1969878e+00    6.1168234e-03 
 1.5795607e+00    1.1973562e+00    5.9700191e-03 
 1.5886386e+00    1.1976970e+00    5.8252043e-03 
 1.5977165e+00    1.1980103e+00    5.6823791e-03 
 1.6067945e+00    1.1982963e+00    5.5415426e-03 
 1.6158724e+00    1.1985549e+00    5.4026936e-03 
 1.6249504e+00    1.1987865e+00    5.2658301e-03 
 1.6340283e+00    1.1989912e+00    5.1309493e-03 
 1.6431062e+00    1.1991691e+00    4.9980482e-03 
 1.6521842e+00    1.1993205e+00    4.8671229e-03 
 1.6612621e+00    1.1994456e+00    4.7381689e-03 
 1.6703400e+00    1.1995445e+00    4.6111814e-03 
 1.6794180e+00    1.1996176e+00    4.4861549e-03 
 1.6884959e+00    1.1996651e+00    4.3630832e-03 
 1.6975738e+00    1.1996872e+00    4.2419600e-03 
